,Currency,Rate
0,AED,3.800949
1,AFN,92.702301
2,ALL,116.805157
3,AMD,410.948144
4,ANG,1.872665
5,AOA,529.693234
6,ARS,171.45457
7,AUD,1.549574
8,AWG,1.86265
9,AZN,1.758851
10,BAM,1.955897
11,BBD,2.097993
12,BDT,105.82735
13,BGN,1.946521
14,BHD,0.39201
15,BIF,2150.943398
16,BMD,1.034806
17,BND,1.429635
18,BOB,7.179778
19,BRL,5.598813
20,BSD,1.039046
21,BTC,6.4047955e-05
22,BTN,84.814745
23,BWP,13.407162
24,BYN,2.623716
25,BYR,20282.191511
26,BZD,2.094392
27,CAD,1.392826
28,CDF,2124.45619
29,CHF,0.97995
30,CLF,0.034586
31,CLP,954.328869
32,CNY,7.456293
33,COP,5035.726666
34,CRC,630.735658
35,CUC,1.034806
36,CUP,27.422351
37,CVE,110.269869
38,CZK,24.355709
39,DJF,184.978167
40,DKK,7.436651
41,DOP,56.742409
42,DZD,143.910573
43,EGP,25.550488
44,ERN,15.522085
45,ETB,55.517878
46,EUR,1.0
47,FJD,2.291525
48,FKP,0.855644
49,GBP,0.859075
50,GEL,2.819866
51,GGP,0.855644
52,GHS,15.06622
53,GIP,0.855644
54,GMD,63.643832
55,GNF,8953.422271
56,GTQ,8.115058
57,GYD,217.386447
58,HKD,8.091611
59,HNL,25.672637
60,HRK,7.504725
61,HTG,142.846546
62,HUF,409.514334
63,IDR,16271.543361
64,ILS,3.541203
65,IMP,0.855644
66,INR,84.586042
67,IQD,1516.482992
68,IRR,43875.761016
69,ISK,146.507732
70,JEP,0.855644
71,JMD,160.102522
72,JOD,0.733655
73,JPY,143.340256
74,KES,126.65269
75,KGS,87.389434
76,KHR,4296.40666
77,KMF,490.090451
78,KPW,931.32512
79,KRW,1387.472635
80,KWD,0.318213
81,KYD,0.865813
82,KZT,483.617332
83,LAK,18036.496358
84,LBP,1571.269376
85,LKR,381.843989
86,LRD,159.359899
87,LSL,17.58122
88,LTL,3.055512
89,LVL,0.625944
90,LYD,5.070024
91,MAD,11.092475
92,MDL,19.947081
93,MGA,4508.445492
94,MKD,61.615934
95,MMK,2182.028042
96,MNT,3541.573051
97,MOP,8.363727
98,MRO,369.425453
99,MUR,45.16931
100,MVR,15.91511
101,MWK,1066.487782
102,MXN,20.036612
103,MYR,4.635525
104,MZN,66.051795
105,NAD,17.581426
106,NGN,458.688197
107,NIO,37.399928
108,NOK,10.315642
109,NPR,135.701369
110,NZD,1.669302
111,OMR,0.400368
112,PAB,1.039036
113,PEN,4.004861
114,PGK,3.661191
115,PHP,58.770746
116,PKR,233.217197
117,PLN,4.694243
118,PYG,7489.330673
119,QAR,3.767738
120,RON,4.918396
121,RSD,117.311912
122,RUB,62.879958
123,RWF,1123.518749
124,SAR,3.888695
125,SBD,8.517063
126,SCR,13.894345
127,SDG,589.324261
128,SEK,10.865967
129,SGD,1.426475
130,SHP,1.425345
131,SLE,18.890275
132,SLL,18859.333408
133,SOS,588.284156
134,SRD,32.149857
135,STD,21418.388505
136,SVC,9.091138
137,SYP,2599.989408
138,SZL,17.811086
139,THB,37.10852
140,TJS,10.442561
141,TMT,3.62182
142,TND,3.355361
143,TOP,2.443331
144,TRY,19.275302
145,TTD,7.054907
146,TWD,32.098124
147,TZS,2414.201598
148,UAH,38.374423
149,UGX,3886.015248
150,USD,1.034806
151,UYU,40.829803
152,UZS,11685.057165
153,VEF,1075023.406581
154,VND,25663.181096
155,VUV,121.942243
156,WST,2.762419
157,XAF,655.979624
158,XAG,0.048944
159,XAU,0.000592
160,XCD,2.796614
161,XDR,0.793827
162,XOF,655.985963
163,XPF,119.649446
164,YER,258.933588
165,ZAR,17.755662
166,ZMK,9314.49421
167,ZMW,17.586076
168,ZWL,333.20701
